first_id,second_id
1,2.0
1,3.0
1,4.0
2,326.0
2,330.0
2,386.0
2,336.0
2,387.0
2,150.0
2,95.0
2,388.0
2,8.0
3,326.0
3,335.0
3,395.0
3,387.0
3,150.0
3,388.0
4,46.0
5,6.0
5,7.0
5,8.0
5,9.0
5,10.0
6,123.0
6,213.0
6,182.0
6,129.0
6,130.0
6,16.0
6,18.0
6,97.0
6,22.0
6,24.0
6,285.0
6,134.0
6,256.0
6,410.0
6,391.0
6,331.0
6,184.0
6,136.0
6,87.0
6,187.0
6,407.0
6,40.0
6,84.0
6,143.0
6,145.0
6,146.0
6,194.0
6,43.0
6,106.0
6,196.0
6,197.0
6,47.0
6,149.0
6,90.0
6,340.0
6,275.0
6,341.0
6,202.0
6,223.0
6,203.0
6,204.0
6,534.0
6,154.0
6,225.0
6,159.0
6,278.0
6,206.0
6,161.0
6,207.0
6,563.0
6,209.0
6,163.0
6,390.0
6,165.0
6,64.0
6,168.0
6,170.0
6,312.0
6,171.0
6,314.0
6,172.0
6,173.0
6,174.0
6,210.0
6,363.0
6,175.0
6,177.0
6,179.0
6,259.0
6,211.0
6,283.0
6,268.0
7,182.0
7,219.0
7,194.0
7,46.0
7,207.0
7,208.0
7,563.0
7,459.0
7,233.0
8,284.0
8,182.0
8,31.0
8,32.0
8,494.0
8,219.0
8,186.0
8,192.0
8,84.0
8,194.0
8,195.0
8,46.0
8,48.0
8,111.0
8,207.0
8,208.0
8,563.0
8,166.0
8,459.0
8,233.0
9,182.0
9,219.0
9,41.0
9,46.0
9,51.0
9,95.0
9,61.0
9,207.0
9,208.0
9,169.0
9,67.0
9,70.0
10,124.0
10,182.0
10,132.0
10,219.0
10,84.0
10,194.0
10,106.0
10,95.0
10,85.0
10,207.0
10,208.0
10,563.0
10,299.0
10,174.0
10,233.0
11,12.0
11,13.0
11,14.0
11,15.0
11,16.0
11,17.0
11,18.0
11,19.0
11,20.0
11,21.0
11,22.0
11,23.0
11,24.0
11,25.0
11,26.0
11,27.0
11,28.0
11,29.0
11,30.0
11,31.0
11,32.0
11,33.0
11,34.0
11,35.0
11,36.0
11,37.0
11,38.0
11,39.0
11,40.0
11,41.0
11,42.0
11,43.0
11,44.0
11,45.0
11,46.0
11,47.0
11,48.0
11,49.0
11,50.0
11,51.0
11,52.0
11,53.0
11,54.0
11,55.0
11,56.0
11,57.0
11,58.0
11,59.0
11,60.0
11,61.0
11,62.0
11,63.0
11,64.0
11,65.0
11,66.0
11,67.0
11,68.0
11,69.0
11,70.0
11,71.0
11,72.0
11,73.0
11,74.0
12,86.0
12,87.0
12,88.0
12,89.0
12,45.0
12,90.0
12,51.0
12,91.0
12,92.0
12,54.0
12,93.0
12,67.0
12,70.0
13,14.0
13,19.0
13,86.0
13,87.0
13,88.0
13,77.0
13,89.0
13,45.0
13,90.0
13,51.0
13,91.0
13,92.0
13,54.0
13,93.0
13,67.0
13,70.0
14,123.0
14,124.0
14,125.0
14,121.0
14,126.0
14,15.0
14,127.0
14,128.0
14,129.0
14,130.0
14,131.0
14,16.0
14,132.0
14,101.0
14,19.0
14,133.0
14,21.0
14,22.0
14,23.0
14,24.0
14,134.0
14,26.0
14,135.0
14,27.0
14,28.0
14,136.0
14,33.0
14,87.0
14,34.0
14,88.0
14,137.0
14,138.0
14,139.0
14,140.0
14,38.0
14,39.0
14,141.0
14,40.0
14,84.0
14,41.0
14,142.0
14,143.0
14,144.0
14,145.0
14,146.0
14,43.0
14,106.0
14,44.0
14,147.0
14,45.0
14,47.0
14,148.0
14,149.0
14,90.0
14,150.0
14,151.0
14,51.0
14,152.0
14,52.0
14,95.0
14,153.0
14,154.0
14,155.0
14,53.0
14,156.0
14,157.0
14,56.0
14,57.0
14,85.0
14,59.0
14,158.0
14,159.0
14,61.0
14,160.0
14,93.0
14,161.0
14,162.0
14,163.0
14,62.0
14,164.0
14,165.0
14,166.0
14,63.0
14,167.0
14,64.0
14,168.0
14,169.0
14,170.0
14,171.0
14,172.0
14,173.0
14,174.0
14,175.0
14,176.0
14,66.0
14,67.0
14,177.0
14,178.0
14,179.0
14,68.0
14,70.0
14,71.0
14,180.0
15,124.0
15,126.0
15,127.0
15,99.0
15,19.0
15,21.0
15,22.0
15,87.0
15,140.0
15,84.0
15,43.0
15,47.0
15,90.0
15,85.0
15,159.0
15,163.0
15,167.0
15,168.0
15,174.0
16,123.0
16,121.0
16,326.0
16,327.0
16,18.0
16,100.0
16,216.0
16,24.0
16,285.0
16,328.0
16,329.0
16,27.0
16,272.0
16,330.0
16,28.0
16,30.0
16,331.0
16,184.0
16,186.0
16,332.0
16,87.0
16,187.0
16,138.0
16,333.0
16,235.0
16,334.0
16,335.0
16,84.0
16,336.0
16,144.0
16,262.0
16,263.0
16,42.0
16,43.0
16,106.0
16,147.0
16,46.0
16,196.0
16,79.0
16,264.0
16,197.0
16,337.0
16,149.0
16,338.0
16,339.0
16,151.0
16,340.0
16,341.0
16,202.0
16,265.0
16,203.0
16,204.0
16,154.0
16,342.0
16,157.0
16,343.0
16,224.0
16,85.0
16,252.0
16,344.0
16,345.0
16,225.0
16,346.0
16,243.0
16,347.0
16,163.0
16,348.0
16,165.0
16,349.0
16,168.0
16,174.0
16,65.0
16,229.0
16,350.0
16,176.0
16,267.0
16,177.0
16,280.0
16,351.0
16,352.0
16,353.0
16,212.0
16,74.0
16,283.0
17,183.0
17,235.0
17,72.0
18,124.0
18,121.0
18,292.0
18,133.0
18,318.0
18,30.0
18,31.0
18,357.0
18,358.0
18,220.0
18,138.0
18,140.0
18,319.0
18,37.0
18,369.0
18,235.0
18,192.0
18,40.0
18,270.0
18,84.0
18,236.0
18,106.0
18,49.0
18,338.0
18,50.0
18,152.0
18,370.0
18,341.0
18,52.0
18,157.0
18,321.0
18,85.0
18,160.0
18,371.0
18,170.0
18,312.0
18,323.0
18,174.0
18,350.0
18,68.0
18,351.0
18,69.0
18,211.0
19,126.0
19,127.0
19,128.0
19,131.0
19,21.0
19,22.0
19,23.0
19,26.0
19,249.0
19,28.0
19,376.0
19,136.0
19,33.0
19,87.0
19,34.0
19,88.0
19,221.0
19,140.0
19,38.0
19,39.0
19,84.0
19,41.0
19,144.0
19,145.0
19,43.0
19,107.0
19,44.0
19,47.0
19,148.0
19,149.0
19,90.0
19,51.0
19,52.0
19,95.0
19,153.0
19,154.0
19,53.0
19,55.0
19,157.0
19,56.0
19,57.0
19,85.0
19,59.0
19,158.0
19,159.0
19,61.0
19,93.0
19,161.0
19,163.0
19,62.0
19,164.0
19,63.0
19,167.0
19,64.0
19,168.0
19,169.0
19,312.0
19,171.0
19,172.0
19,174.0
19,175.0
19,377.0
19,66.0
19,67.0
19,177.0
19,178.0
19,179.0
19,69.0
19,253.0
19,70.0
19,378.0
21,126.0
21,99.0
21,131.0
21,22.0
21,23.0
21,26.0
21,28.0
21,136.0
21,33.0
21,87.0
21,34.0
21,221.0
21,38.0
21,39.0
21,41.0
21,43.0
21,44.0
21,47.0
21,90.0
21,51.0
21,53.0
21,56.0
21,57.0
21,59.0
21,61.0
21,93.0
21,163.0
21,62.0
21,63.0
21,167.0
21,64.0
21,169.0
21,171.0
21,172.0
21,66.0
21,67.0
21,69.0
21,70.0
21,378.0
21,392.0
22,98.0
22,181.0
22,123.0
22,124.0
22,127.0
22,128.0
22,269.0
22,317.0
22,318.0
22,87.0
22,220.0
22,140.0
22,319.0
22,270.0
22,84.0
22,291.0
22,320.0
22,146.0
22,43.0
22,44.0
22,148.0
22,149.0
22,241.0
22,242.0
22,53.0
22,56.0
22,57.0
22,321.0
22,85.0
22,59.0
22,159.0
22,161.0
22,62.0
22,271.0
22,167.0
22,168.0
22,322.0
22,323.0
22,174.0
22,175.0
22,177.0
22,179.0
22,324.0
23,123.0
23,183.0
23,249.0
23,31.0
23,250.0
23,87.0
23,34.0
23,138.0
23,140.0
23,190.0
23,40.0
23,105.0
23,84.0
23,143.0
23,43.0
23,107.0
23,305.0
23,45.0
23,51.0
23,251.0
23,308.0
23,52.0
23,203.0
23,110.0
23,154.0
23,54.0
23,252.0
23,373.0
23,159.0
23,115.0
23,161.0
23,62.0
23,67.0
23,119.0
23,253.0
23,70.0
23,72.0
24,127.0
24,129.0
24,183.0
24,133.0
24,357.0
24,358.0
24,407.0
24,138.0
24,140.0
24,37.0
24,190.0
24,40.0
24,84.0
24,143.0
24,146.0
24,195.0
24,148.0
24,199.0
24,50.0
24,152.0
24,203.0
24,85.0
24,170.0
24,173.0
24,179.0
24,68.0
24,72.0
24,180.0
25,31.0
25,140.0
25,305.0
25,308.0
25,373.0
25,254.0
26,183.0
26,31.0
26,250.0
26,87.0
26,138.0
26,190.0
26,105.0
26,84.0
26,143.0
26,43.0
26,107.0
26,305.0
26,51.0
26,308.0
26,52.0
26,203.0
26,110.0
26,154.0
26,161.0
26,67.0
26,70.0
26,72.0
27,96.0
27,124.0
27,234.0
27,126.0
27,292.0
27,256.0
27,31.0
27,184.0
27,87.0
27,187.0
27,138.0
27,139.0
27,140.0
27,37.0
27,235.0
27,334.0
27,40.0
27,143.0
27,305.0
27,195.0
27,196.0
27,197.0
27,199.0
27,49.0
27,414.0
27,50.0
27,202.0
27,415.0
27,308.0
27,204.0
27,373.0
27,160.0
27,206.0
27,163.0
27,210.0
27,409.0
27,68.0
27,211.0
27,416.0
27,254.0
28,37.0
28,105.0
28,84.0
28,43.0
28,305.0
28,50.0
28,51.0
28,308.0
28,52.0
28,85.0
28,373.0
28,67.0
28,68.0
28,70.0
29,75.0
29,81.0
29,98.0
29,181.0
29,248.0
29,121.0
29,126.0
29,364.0
29,269.0
29,372.0
29,244.0
29,102.0
29,317.0
29,134.0
29,412.0
29,318.0
29,410.0
29,76.0
29,391.0
29,331.0
29,82.0
29,103.0
29,420.0
29,421.0
29,87.0
29,188.0
29,430.0
29,220.0
29,431.0
29,36.0
29,77.0
29,319.0
29,245.0
29,432.0
29,104.0
29,422.0
29,105.0
29,423.0
29,433.0
29,78.0
29,291.0
29,424.0
29,320.0
29,145.0
29,434.0
29,106.0
29,400.0
29,46.0
29,435.0
29,436.0
29,337.0
29,48.0
29,198.0
29,437.0
29,425.0
29,90.0
29,241.0
29,438.0
29,426.0
29,122.0
29,439.0
29,427.0
29,440.0
29,441.0
29,246.0
29,428.0
29,367.0
29,401.0
29,442.0
29,443.0
29,242.0
29,402.0
29,403.0
29,444.0
29,321.0
29,445.0
29,404.0
29,446.0
29,429.0
29,247.0
29,60.0
29,447.0
29,225.0
29,448.0
29,114.0
29,163.0
29,449.0
29,390.0
29,271.0
29,118.0
29,322.0
29,323.0
29,450.0
29,451.0
29,452.0
29,366.0
29,453.0
29,454.0
29,324.0
29,455.0
29,456.0
30,31.0
30,37.0
30,42.0
30,48.0
30,50.0
30,52.0
30,58.0
30,312.0
30,65.0
30,68.0
30,72.0
31,94.0
31,237.0
31,183.0
31,101.0
31,374.0
31,460.0
31,410.0
31,301.0
31,461.0
31,86.0
31,462.0
31,303.0
31,463.0
31,33.0
31,87.0
31,88.0
31,137.0
31,138.0
31,139.0
31,235.0
31,38.0
31,39.0
31,464.0
31,465.0
31,423.0
31,262.0
31,89.0
31,263.0
31,45.0
31,264.0
31,49.0
31,287.0
31,51.0
31,466.0
31,467.0
31,468.0
31,469.0
31,91.0
31,470.0
31,92.0
31,265.0
31,471.0
31,156.0
31,54.0
31,472.0
31,224.0
31,473.0
31,474.0
31,475.0
31,58.0
31,476.0
31,477.0
31,159.0
31,205.0
31,160.0
31,478.0
31,93.0
31,162.0
31,479.0
31,480.0
31,209.0
31,164.0
31,348.0
31,390.0
31,63.0
31,481.0
31,64.0
31,417.0
31,482.0
31,65.0
31,229.0
31,176.0
31,483.0
31,66.0
31,67.0
31,484.0
31,282.0
31,485.0
31,72.0
32,123.0
32,121.0
32,303.0
32,149.0
32,414.0
32,157.0
33,123.0
33,121.0
33,183.0
33,249.0
33,250.0
33,87.0
33,34.0
33,138.0
33,140.0
33,190.0
33,40.0
33,105.0
33,84.0
33,143.0
33,43.0
33,107.0
33,305.0
33,195.0
33,45.0
33,199.0
33,51.0
33,251.0
33,308.0
33,52.0
33,203.0
33,110.0
33,154.0
33,54.0
33,252.0
33,373.0
33,159.0
33,115.0
33,161.0
33,62.0
33,67.0
33,119.0
33,253.0
33,70.0
33,72.0
34,235.0
34,38.0
34,43.0
34,195.0
34,45.0
34,199.0
34,49.0
34,51.0
34,52.0
34,64.0
34,312.0
34,314.0
34,67.0
34,70.0
35,126.0
35,87.0
35,138.0
35,90.0
35,163.0
35,180.0
36,126.0
36,318.0
36,457.0
36,421.0
36,87.0
36,77.0
36,335.0
36,522.0
36,46.0
36,90.0
36,404.0
36,163.0
36,69.0
37,123.0
37,121.0
37,326.0
37,100.0
37,216.0
37,285.0
37,328.0
37,330.0
37,184.0
37,332.0
37,87.0
37,187.0
37,138.0
37,235.0
37,334.0
37,335.0
37,336.0
37,144.0
37,262.0
37,263.0
37,147.0
37,196.0
37,264.0
37,197.0
37,337.0
37,151.0
37,340.0
37,341.0
37,202.0
37,265.0
37,204.0
37,342.0
37,157.0
37,344.0
37,225.0
37,347.0
37,348.0
37,165.0
37,168.0
37,65.0
37,229.0
37,176.0
38,123.0
38,183.0
38,249.0
38,250.0
38,87.0
38,138.0
38,140.0
38,190.0
38,40.0
38,105.0
38,84.0
38,143.0
38,43.0
38,107.0
38,305.0
38,51.0
38,251.0
38,308.0
38,52.0
38,203.0
38,110.0
38,154.0
38,252.0
38,373.0
38,159.0
38,115.0
38,161.0
38,62.0
38,67.0
38,119.0
38,253.0
38,70.0
38,72.0
39,183.0
39,249.0
39,250.0
39,87.0
39,138.0
39,140.0
39,190.0
39,105.0
39,84.0
39,143.0
39,43.0
39,107.0
39,305.0
39,51.0
39,251.0
39,308.0
39,52.0
39,203.0
39,110.0
39,252.0
39,373.0
39,115.0
39,161.0
39,62.0
39,67.0
39,119.0
39,253.0
39,70.0
39,72.0
40,123.0
40,124.0
40,121.0
40,128.0
40,182.0
40,183.0
40,326.0
40,327.0
40,97.0
40,216.0
40,134.0
40,330.0
40,184.0
40,496.0
40,87.0
40,138.0
40,139.0
40,140.0
40,334.0
40,84.0
40,144.0
40,194.0
40,42.0
40,43.0
40,106.0
40,147.0
40,46.0
40,196.0
40,149.0
40,338.0
40,287.0
40,203.0
40,155.0
40,342.0
40,157.0
40,85.0
40,225.0
40,159.0
40,346.0
40,478.0
40,207.0
40,163.0
40,63.0
40,167.0
40,64.0
40,526.0
40,168.0
40,174.0
40,65.0
40,350.0
40,483.0
40,280.0
40,351.0
40,289.0
40,73.0
40,353.0
40,212.0
40,74.0
40,283.0
40,268.0
41,126.0
41,397.0
41,249.0
41,250.0
41,87.0
41,430.0
41,43.0
41,107.0
41,90.0
41,251.0
41,110.0
41,506.0
41,252.0
41,115.0
41,163.0
41,167.0
41,119.0
41,253.0
41,254.0
42,124.0
42,121.0
42,292.0
42,318.0
42,138.0
42,235.0
42,270.0
42,236.0
42,152.0
42,370.0
42,341.0
42,52.0
42,157.0
42,321.0
42,160.0
42,170.0
42,312.0
42,323.0
42,174.0
42,68.0
42,69.0
42,211.0
43,123.0
43,124.0
43,126.0
43,127.0
43,128.0
43,129.0
43,131.0
43,132.0
43,101.0
43,133.0
43,134.0
43,135.0
43,136.0
43,87.0
43,221.0
43,138.0
43,139.0
43,140.0
43,141.0
43,84.0
43,143.0
43,144.0
43,145.0
43,146.0
43,106.0
43,44.0
43,147.0
43,305.0
43,195.0
43,47.0
43,148.0
43,149.0
43,199.0
43,90.0
43,150.0
43,151.0
43,51.0
43,152.0
43,308.0
43,95.0
43,154.0
43,155.0
43,53.0
43,157.0
43,56.0
43,57.0
43,85.0
43,373.0
43,59.0
43,159.0
43,61.0
43,160.0
43,93.0
43,161.0
43,163.0
43,62.0
43,164.0
43,165.0
43,63.0
43,167.0
43,64.0
43,168.0
43,169.0
43,170.0
43,171.0
43,172.0
43,173.0
43,174.0
43,175.0
43,176.0
43,66.0
43,67.0
43,177.0
43,178.0
43,179.0
43,68.0
43,69.0
43,70.0
43,268.0
44,126.0
44,99.0
44,87.0
44,47.0
44,90.0
44,51.0
44,167.0
44,67.0
44,69.0
45,124.0
45,214.0
45,121.0
45,130.0
45,183.0
45,100.0
45,379.0
45,134.0
45,87.0
45,88.0
45,220.0
45,139.0
45,190.0
45,270.0
45,84.0
45,142.0
45,305.0
45,195.0
45,199.0
45,90.0
45,308.0
45,52.0
45,203.0
45,154.0
45,55.0
45,321.0
45,85.0
45,373.0
45,298.0
45,310.0
45,162.0
45,209.0
45,165.0
45,63.0
45,526.0
45,227.0
45,312.0
45,314.0
45,172.0
45,315.0
45,71.0
45,72.0
45,254.0
45,74.0
46,123.0
46,124.0
46,255.0
46,121.0
46,126.0
46,215.0
46,127.0
46,128.0
46,182.0
46,129.0
46,326.0
46,365.0
46,133.0
46,393.0
46,216.0
46,102.0
46,135.0
46,300.0
46,329.0
46,272.0
46,330.0
46,457.0
46,389.0
46,357.0
46,497.0
46,503.0
46,420.0
46,421.0
46,87.0
46,358.0
46,188.0
46,359.0
46,138.0
46,189.0
46,235.0
46,486.0
46,104.0
46,141.0
46,386.0
46,422.0
46,423.0
46,336.0
46,424.0
46,143.0
46,387.0
46,144.0
46,262.0
46,541.0
46,145.0
46,542.0
46,263.0
46,495.0
46,147.0
46,195.0
46,264.0
46,148.0
46,149.0
46,425.0
46,90.0
46,426.0
46,122.0
46,150.0
46,487.0
46,548.0
46,439.0
46,427.0
46,152.0
46,370.0
46,428.0
46,341.0
46,265.0
46,401.0
46,549.0
46,154.0
46,155.0
46,157.0
46,85.0
46,429.0
46,498.0
46,60.0
46,388.0
46,159.0
46,114.0
46,160.0
46,161.0
46,208.0
46,295.0
46,347.0
46,164.0
46,165.0
46,490.0
46,417.0
46,168.0
46,170.0
46,312.0
46,550.0
46,174.0
46,510.0
46,176.0
46,179.0
46,68.0
46,513.0
46,514.0
46,289.0
47,98.0
47,181.0
47,123.0
47,124.0
47,127.0
47,128.0
47,269.0
47,317.0
47,318.0
47,87.0
47,220.0
47,140.0
47,319.0
47,270.0
47,84.0
47,291.0
47,320.0
47,146.0
47,148.0
47,149.0
47,241.0
47,242.0
47,53.0
47,56.0
47,57.0
47,321.0
47,85.0
47,59.0
47,159.0
47,161.0
47,62.0
47,271.0
47,167.0
47,168.0
47,322.0
47,323.0
47,174.0
47,175.0
47,177.0
47,179.0
47,324.0
48,81.0
48,121.0
48,215.0
48,101.0
48,410.0
48,87.0
48,431.0
48,138.0
48,77.0
48,235.0
48,432.0
48,423.0
48,305.0
48,435.0
48,49.0
48,440.0
48,469.0
48,308.0
48,443.0
48,552.0
48,373.0
48,159.0
48,160.0
48,480.0
48,164.0
48,390.0
48,165.0
48,417.0
48,312.0
48,454.0
49,181.0
49,234.0
49,521.0
49,91.0
49,555.0
49,156.0
49,556.0
49,58.0
49,63.0
49,65.0
49,66.0
49,72.0
50,123.0
50,121.0
50,326.0
50,100.0
50,216.0
50,285.0
50,328.0
50,330.0
50,184.0
50,332.0
50,87.0
50,187.0
50,138.0
50,235.0
50,334.0
50,335.0
50,336.0
50,144.0
50,262.0
50,263.0
50,147.0
50,196.0
50,264.0
50,197.0
50,337.0
50,151.0
50,340.0
50,341.0
50,202.0
50,265.0
50,204.0
50,342.0
50,157.0
50,344.0
50,225.0
50,347.0
50,348.0
50,165.0
50,168.0
50,65.0
50,229.0
50,176.0
51,261.0
51,126.0
51,379.0
51,397.0
51,249.0
51,250.0
51,496.0
51,136.0
51,87.0
51,430.0
51,221.0
51,418.0
51,107.0
51,305.0
51,90.0
51,251.0
51,308.0
51,110.0
51,53.0
51,506.0
51,55.0
51,56.0
51,57.0
51,252.0
51,373.0
51,115.0
51,163.0
51,62.0
51,63.0
51,167.0
51,64.0
51,526.0
51,66.0
51,119.0
51,253.0
51,71.0
51,254.0
51,378.0
52,234.0
52,269.0
52,101.0
52,379.0
52,394.0
52,318.0
52,87.0
52,88.0
52,139.0
52,270.0
52,142.0
52,143.0
52,89.0
52,195.0
52,199.0
52,90.0
52,287.0
52,92.0
52,489.0
52,298.0
52,205.0
52,93.0
52,163.0
52,271.0
52,63.0
52,167.0
52,64.0
52,312.0
52,314.0
52,173.0
52,380.0
52,65.0
52,483.0
52,66.0
52,71.0
52,254.0
53,126.0
53,99.0
53,87.0
53,84.0
53,90.0
53,95.0
53,159.0
53,163.0
53,62.0
53,167.0
53,168.0
53,67.0
54,124.0
54,214.0
54,183.0
54,100.0
54,134.0
54,87.0
54,88.0
54,220.0
54,139.0
54,190.0
54,270.0
54,84.0
54,142.0
54,305.0
54,90.0
54,308.0
54,203.0
54,154.0
54,55.0
54,321.0
54,373.0
54,298.0
54,310.0
54,162.0
54,209.0
54,165.0
54,63.0
54,227.0
54,312.0
54,314.0
54,172.0
54,315.0
54,71.0
54,72.0
54,254.0
55,86.0
55,87.0
55,88.0
55,89.0
55,90.0
55,91.0
55,92.0
55,93.0
55,67.0
55,70.0
56,126.0
56,99.0
56,87.0
56,90.0
56,163.0
56,62.0
56,167.0
56,67.0
57,126.0
57,99.0
57,87.0
57,270.0
57,90.0
57,167.0
57,67.0
58,123.0
58,235.0
58,159.0
58,161.0
59,126.0
59,99.0
59,87.0
59,90.0
59,163.0
59,62.0
59,167.0
60,126.0
60,318.0
60,421.0
60,87.0
60,77.0
60,335.0
60,522.0
60,90.0
60,404.0
60,163.0
60,69.0
61,126.0
61,397.0
61,136.0
61,87.0
